stock_code,prediction
688137.SH,0.6426705718040466
688075.SH,0.6426556706428528
301258.SZ,0.6418033242225647
603382.SH,0.6403892040252686
301520.SZ,0.6402448415756226
000670.SZ,0.639393150806427
301575.SZ,0.6383918523788452
603307.SH,0.6378507614135742
300264.SZ,0.6367393136024475
688592.SH,0.6358621716499329
000980.SZ,0.6344077587127686
301578.SZ,0.6340542435646057
301287.SZ,0.6334057450294495
301234.SZ,0.6316431164741516
301097.SZ,0.6313530802726746
301289.SZ,0.6301307678222656
300949.SZ,0.6290791630744934
688755.SH,0.6285951733589172
300051.SZ,0.6257743239402771
688060.SH,0.6257449388504028
688198.SH,0.6238248348236084
301208.SZ,0.6234636902809143
301353.SZ,0.6213535070419312
688092.SH,0.620459258556366
603235.SH,0.6198829412460327
301119.SZ,0.6171043515205383
000890.SZ,0.6145201325416565
600844.SH,0.6127829551696777
300784.SZ,0.6125076413154602
300736.SZ,0.6114280223846436
688501.SH,0.6083495616912842
301633.SZ,0.6082233786582947
688576.SH,0.6068247556686401
301173.SZ,0.6011552810668945
600358.SH,0.5985512733459473
300478.SZ,0.5967859029769897
688113.SH,0.5914875864982605
301036.SZ,0.5799281001091003
603102.SH,0.5764250755310059
301533.SZ,0.5732719898223877
000509.SZ,0.5704602003097534
000762.SZ,0.5687087774276733
688249.SH,0.5672467947006226
688606.SH,0.5669850707054138
300782.SZ,0.565231442451477
600310.SH,0.5613999366760254
002069.SZ,0.5554497838020325
300938.SZ,0.5543578863143921
688032.SH,0.5535378456115723
688665.SH,0.5529294013977051
001395.SZ,0.5517268776893616
600617.SH,0.5464127659797668
688018.SH,0.5455523729324341
603325.SH,0.5431346297264099
603778.SH,0.5428196787834167
300165.SZ,0.5415657758712769
000566.SZ,0.5403133034706116
000690.SZ,0.5402373671531677
300953.SZ,0.5402158498764038
605151.SH,0.5400461554527283
301209.SZ,0.5363951921463013
600405.SH,0.5361050963401794
002281.SZ,0.5360169410705566
688217.SH,0.5331933498382568
301259.SZ,0.532727837562561
603290.SH,0.5289550423622131
300207.SZ,0.5285178422927856
000659.SZ,0.5277910828590393
300364.SZ,0.5277442336082458
